original,homonimo,score
Carrera 70 # 26A - 33,Carrera 70 # 26A - 33,100.0
Carrera 70 # 26A - 33,Carrera 70 # 26A 33,100.0
Carrera 70 # 26A - 33,Carrera 70 26A - 33,100.0
Carrera 70 # 26A - 33,Carrera 70 26A 33,100.0
Carrera 70 # 26A - 33,Carrera 70 No 26A - 33,100.0
Carrera 70 # 26A - 33,Carrera 70 No 26A 33,100.0
Carrera 70 # 26A - 33,Carrera 70 Nro 26A - 33,100.0
Carrera 70 # 26A - 33,Carrera 70 Nro 26A 33,100.0
Carrera 70 # 26A - 33,Carrera 70 Num 26A - 33,100.0
Carrera 70 # 26A - 33,Carrera 70 Num 26A 33,100.0
Carrera 70 # 26A - 33,Carrera 70 Numero 26A - 33,100.0
Carrera 70 # 26A - 33,Carrera 70 Numero 26A 33,100.0
Carrera 70 # 26A - 33,Cr 70 # 26A - 33,100.0
Carrera 70 # 26A - 33,Cr 70 # 26A 33,100.0
Carrera 70 # 26A - 33,Cr 70 26A - 33,100.0
Carrera 70 # 26A - 33,Cr 70 26A 33,100.0
Carrera 70 # 26A - 33,Cr 70 No 26A - 33,100.0
Carrera 70 # 26A - 33,Cr 70 No 26A 33,100.0
Carrera 70 # 26A - 33,Cr 70 Nro 26A - 33,100.0
Carrera 70 # 26A - 33,Cr 70 Nro 26A 33,100.0
Carrera 70 # 26A - 33,Cr 70 Num 26A - 33,100.0
Carrera 70 # 26A - 33,Cr 70 Num 26A 33,100.0
Carrera 70 # 26A - 33,Cr 70 Numero 26A - 33,100.0
Carrera 70 # 26A - 33,Cr 70 Numero 26A 33,100.0
Carrera 70 # 26A - 33,Cra 70 # 26A - 33,100.0
Carrera 70 # 26A - 33,Cra 70 # 26A 33,100.0
Carrera 70 # 26A - 33,Cra 70 26A - 33,100.0
Carrera 70 # 26A - 33,Cra 70 26A 33,100.0
Carrera 70 # 26A - 33,Cra 70 No 26A - 33,100.0
Carrera 70 # 26A - 33,Cra 70 No 26A 33,100.0
Carrera 70 # 26A - 33,Cra 70 Nro 26A - 33,100.0
Carrera 70 # 26A - 33,Cra 70 Nro 26A 33,100.0
Carrera 70 # 26A - 33,Cra 70 Num 26A - 33,100.0
Carrera 70 # 26A - 33,Cra 70 Num 26A 33,100.0
Carrera 70 # 26A - 33,Cra 70 Numero 26A - 33,100.0
Carrera 70 # 26A - 33,Cra 70 Numero 26A 33,100.0
Carrera 70 # 26A - 33,Kr 70 # 26A - 33,100.0
Carrera 70 # 26A - 33,Kr 70 # 26A 33,100.0
Carrera 70 # 26A - 33,Kr 70 26A - 33,100.0
Carrera 70 # 26A - 33,Kr 70 26A 33,100.0
Carrera 70 # 26A - 33,Kr 70 No 26A - 33,100.0
Carrera 70 # 26A - 33,Kr 70 No 26A 33,100.0
Carrera 70 # 26A - 33,Kr 70 Nro 26A - 33,100.0
Carrera 70 # 26A - 33,Kr 70 Nro 26A 33,100.0
Carrera 70 # 26A - 33,Kr 70 Num 26A - 33,100.0
Carrera 70 # 26A - 33,Kr 70 Num 26A 33,100.0
Carrera 70 # 26A - 33,Kr 70 Numero 26A - 33,100.0
Carrera 70 # 26A - 33,Kr 70 Numero 26A 33,100.0
Carrera 70 # 26A - 33,Kra 70 # 26A - 33,100.0
Carrera 70 # 26A - 33,Kra 70 # 26A 33,100.0
Carrera 70 # 26A - 33,Kra 70 26A - 33,100.0
Carrera 70 # 26A - 33,Kra 70 26A 33,100.0
Carrera 70 # 26A - 33,Kra 70 No 26A - 33,100.0
Carrera 70 # 26A - 33,Kra 70 No 26A 33,100.0
Carrera 70 # 26A - 33,Kra 70 Nro 26A - 33,100.0
Carrera 70 # 26A - 33,Kra 70 Nro 26A 33,100.0
Carrera 70 # 26A - 33,Kra 70 Num 26A - 33,100.0
Carrera 70 # 26A - 33,Kra 70 Num 26A 33,100.0
Carrera 70 # 26A - 33,Kra 70 Numero 26A - 33,100.0
Carrera 70 # 26A - 33,Kra 70 Numero 26A 33,100.0
